round,teams,date_time,result
'34','Coritiba x Cruzeiro','2023-11-11T16:00',''
'34','Flamengo x Fluminense','2023-11-11T18:30',''
'34','Palmeiras x Internacional','2023-11-11T21:00',''
'34','Bragantino x Botafogo','2023-11-12T16:00',''
'34','Grêmio x Corinthians','2023-11-12T16:00',''
'34','Vasco x América-MG','2023-11-12T18:30',''
'34','Santos x São Paulo','2023-11-12T18:30',''
'34','Atlético-MG x Goiás','2023-11-12T18:30',''
'34','Bahia x Athletico-PR','2023-11-12T18:30',''
'34','Cuiabá x Fortaleza','2023-11-12T18:30',''
'33','Internacional x Fluminense','2023-11-08T19:00','0 x 0'
'33','América-MG x Coritiba','2023-11-08T19:00','0 x 3'
'33','São Paulo x Bragantino','2023-11-08T20:00','1 x 0'
'33','Athletico-PR x Fortaleza','2023-11-08T20:00','1 x 1'
'33','Flamengo x Palmeiras','2023-11-08T21:30','3 x 0'
'33','Corinthians x Atlético-MG','2023-11-09T19:00','1 x 1'
'33','Goiás x Santos','2023-11-09T19:00','0 x 1'
'33','Botafogo x Grêmio','2023-11-09T20:00','3 x 4'
'33','Bahia x Cuiabá','2023-11-09T20:00','0 x 3'
'33','Cruzeiro x Vasco','2023-11-22T19:00',''
'32','Grêmio x Bahia','2023-11-04T19:30','1 x 0'
'32','América-MG x Atlético-MG','2023-11-04T19:30','1 x 1'
'32','Palmeiras x Athletico-PR','2023-11-04T21:30','1 x 0'
'32','Bragantino x Corinthians','2023-11-05T16:00','1 x 0'
'32','Cruzeiro x Internacional','2023-11-05T16:00','1 x 2'
'32','Fortaleza x Flamengo','2023-11-05T16:00','0 x 2'
'32','Coritiba x Goiás','2023-11-05T18:30','0 x 1'
'32','Vasco x Botafogo','2023-11-06T19:00','1 x 0'
'32','Santos x Cuiabá','2023-11-06T21:00','0 x 0'
'32','Fluminense x São Paulo','2023-11-22T21:30',''
'31','Bahia x Fluminense','2023-10-31T19:00','1 x 0'
'31','Corinthians x Athletico-PR','2023-11-01T19:00','1 x 0'
'31','Internacional x América-MG','2023-11-01T19:00','1 x 1'
'31','Flamengo x Santos','2023-11-01T20:00','1 x 2'
'31','Coritiba x Grêmio','2023-11-01T20:00','1 x 2'
'31','Botafogo x Palmeiras','2023-11-01T21:30','3 x 4'
'31','Atlético-MG x Fortaleza','2023-11-01T21:30','3 x 1'
'31','Cuiabá x Vasco','2023-11-02T17:00','0 x 2'
'31','Goiás x Bragantino','2023-11-02T18:00','0 x 2'
'31','São Paulo x Cruzeiro','2023-11-02T20:00','1 x 0'
'30','Palmeiras x Bahia','2023-10-28T19:00','1 x 0'
'30','América-MG x Grêmio','2023-10-28T19:00','3 x 4'
'30','Atlético-MG x Fluminense','2023-10-28T21:00','2 x 0'
'30','Goiás x Vasco','2023-10-29T16:00','1 x 1'
'30','Athletico-PR x São Paulo','2023-10-29T16:00','1 x 1'
'30','Corinthians x Santos','2023-10-29T18:30','1 x 1'
'30','Internacional x Coritiba','2023-10-29T18:30','3 x 4'
'30','Botafogo x Cuiabá','2023-10-29T20:00','0 x 1'
'30','Fortaleza x Cruzeiro','2023-11-18T18:30',''
'30','Flamengo x Bragantino','2023-11-23T21:30',''
'29','Fluminense x Goiás','2023-10-25T19:00','5 x 3'
'29','Bragantino x Atlético-MG','2023-10-25T19:00','1 x 2'
'29','Athletico-PR x América-MG','2023-10-25T19:00','3 x 2'
'29','Palmeiras x São Paulo','2023-10-25T20:00','5 x 0'
'29','Cruzeiro x Bahia','2023-10-25T20:00','3 x 0'
'29','Grêmio x Flamengo','2023-10-25T21:30','3 x 2'
'29','Cuiabá x Corinthians','2023-10-25T21:30','0 x 1'
'29','Vasco x Internacional','2023-10-26T19:00','1 x 2'
'29','Santos x Coritiba','2023-10-26T21:30','2 x 1'
'29','Fortaleza x Botafogo','2023-11-23T19:00',''
'28','São Paulo x Grêmio','2023-10-21T18:30','3 x 0'
'28','Bahia x Fortaleza','2023-10-21T18:30','2 x 0'
'28','Cuiabá x Goiás','2023-10-21T18:30','1 x 1'
'28','Botafogo x Athletico-PR','2023-10-22T15:00','1 x 1'
'28','Flamengo x Vasco','2023-10-22T16:00','1 x 0'
'28','Atlético-MG x Cruzeiro','2023-10-22T16:00','0 x 1'
'28','Internacional x Santos','2023-10-22T16:00','7 x 1'
'28','Corinthians x América-MG','2023-10-22T18:30','1 x 1'
'28','Bragantino x Fluminense','2023-10-22T18:30','1 x 0'
'28','Coritiba x Palmeiras','2023-10-22T18:30','0 x 2'
'27','Grêmio x Athletico-PR','2023-10-18T19:00','1 x 2'
'27','Coritiba x Cuiabá','2023-10-18T20:00','0 x 3'
'27','América-MG x Botafogo','2023-10-18T20:00','1 x 2'
'27','Vasco x Fortaleza','2023-10-18T21:30','1 x 0'
'27','Goiás x São Paulo','2023-10-18T21:30','2 x 0'
'27','Bahia x Internacional','2023-10-18T21:30','1 x 0'
'27','Palmeiras x Atlético-MG','2023-10-19T19:00','0 x 2'
'27','Cruzeiro x Flamengo','2023-10-19T19:00','0 x 2'
'27','Santos x Bragantino','2023-10-19T20:00','1 x 3'
'27','Fluminense x Corinthians','2023-10-19T21:30','3 x 3'
'26','Goiás x Bahia','2023-10-07T16:00','4 x 6'
'26','Vasco x São Paulo','2023-10-07T18:30','0 x 0'
'26','Corinthians x Flamengo','2023-10-07T21:00','1 x 1'
'26','Fluminense x Botafogo','2023-10-08T16:00','0 x 2'
'26','Palmeiras x Santos','2023-10-08T16:00','1 x 2'
'26','Internacional x Grêmio','2023-10-08T16:00','3 x 2'
'26','Atlético-MG x Coritiba','2023-10-08T18:30','1 x 2'
'26','Athletico-PR x Bragantino','2023-10-08T18:30','1 x 1'
'26','Fortaleza x América-MG','2023-10-08T18:30','3 x 2'
'26','Cuiabá x Cruzeiro','2023-10-14T21:00','0 x 0'
'25','Flamengo x Bahia','2023-09-30T16:00','1 x 0'
'25','Fortaleza x Grêmio','2023-09-30T16:00','1 x 1'
'25','São Paulo x Corinthians','2023-09-30T18:30','2 x 1'
'25','Cuiabá x Fluminense','2023-09-30T18:30','3 x 0'
'25','Internacional x Atlético-MG','2023-09-30T21:00','0 x 2'
'25','Santos x Vasco','2023-10-01T16:00','4 x 1'
'25','Cruzeiro x América-MG','2023-10-01T16:00','1 x 1'
'25','Coritiba x Athletico-PR','2023-10-01T16:00','2 x 0'
'25','Bragantino x Palmeiras','2023-10-01T18:30','2 x 1'
'25','Botafogo x Goiás','2023-10-02T20:00','1 x 1'
'24','Bahia x Santos','2023-09-18T20:00','1 x 2'
'24','América-MG x Bragantino','2023-09-19T21:30','0 x 2'
'24','Goiás x Flamengo','2023-09-20T19:00','0 x 0'
'24','Fluminense x Cruzeiro','2023-09-20T21:30','1 x 0'
'24','São Paulo x Fortaleza','2023-09-20T21:30','1 x 2'
'24','Vasco x Coritiba','2023-09-21T19:00','5 x 1'
'24','Athletico-PR x Internacional','2023-09-21T19:30','2 x 1'
'24','Grêmio x Palmeiras','2023-09-21T21:30','1 x 0'
'24','Corinthians x Botafogo','2023-09-22T20:00','1 x 0'
'24','Atlético-MG x Cuiabá','2023-09-23T21:00','1 x 0'
'23','Flamengo x Athletico-PR','2023-09-13T21:30','0 x 3'
'23','Internacional x São Paulo','2023-09-13T21:30','2 x 1'
'23','Santos x Cruzeiro','2023-09-14T19:00','0 x 3'
'23','Fortaleza x Corinthians','2023-09-14T19:00','2 x 1'
'23','Coritiba x Bahia','2023-09-14T20:00','2 x 4'
'23','Bragantino x Grêmio','2023-09-14T21:30','2 x 0'
'23','Cuiabá x América-MG','2023-09-15T20:00','2 x 2'
'23','Palmeiras x Goiás','2023-09-15T21:30','1 x 0'
'23','Vasco x Fluminense','2023-09-16T16:00','4 x 2'
'23','Atlético-MG x Botafogo','2023-09-16T21:00','1 x 0'
'22','Goiás x Internacional','2023-09-02T16:00','0 x 0'
'22','Athletico-PR x Atlético-MG','2023-09-02T16:00','1 x 1'
'22','Botafogo x Flamengo','2023-09-02T21:00','1 x 2'
'22','Grêmio x Cuiabá','2023-09-03T11:00','2 x 0'
'22','Fluminense x Fortaleza','2023-09-03T16:00','1 x 0'
'22','Corinthians x Palmeiras','2023-09-03T16:00','0 x 0'
'22','Cruzeiro x Bragantino','2023-09-03T18:30','0 x 0'
'22','Bahia x Vasco','2023-09-03T18:30','1 x 1'
'22','América-MG x Santos','2023-09-03T18:30','2 x 0'
'22','São Paulo x Coritiba','2023-09-27T19:00','2 x 1'
'21','Flamengo x Internacional','2023-08-26T18:30','0 x 0'
'21','Corinthians x Goiás','2023-08-26T21:00','1 x 1'
'21','Bragantino x Cuiabá','2023-08-27T11:00','2 x 0'
'21','Botafogo x Bahia','2023-08-27T16:00','3 x 0'
'21','Atlético-MG x Santos','2023-08-27T16:00','2 x 0'
'21','América-MG x São Paulo','2023-08-27T16:00','2 x 1'
'21','Palmeiras x Vasco','2023-08-27T18:30','1 x 0'
'21','Athletico-PR x Fluminense','2023-08-27T18:30','2 x 2'
'21','Fortaleza x Coritiba','2023-08-27T18:30','3 x 1'
'21','Grêmio x Cruzeiro','2023-08-27T19:00','3 x 0'
'20','São Paulo x Botafogo','2023-08-19T16:00','0 x 0'
'20','Internacional x Fortaleza','2023-08-19T16:00','0 x 1'
'20','Fluminense x América-MG','2023-08-19T18:30','3 x 1'
'20','Cuiabá x Palmeiras','2023-08-19T18:30','0 x 2'
'20','Cruzeiro x Corinthians','2023-08-19T21:00','1 x 1'
'20','Vasco x Atlético-MG','2023-08-20T11:00','1 x 0'
'20','Santos x Grêmio','2023-08-20T16:00','2 x 1'
'20','Coritiba x Flamengo','2023-08-20T16:00','2 x 3'
'20','Bahia x Bragantino','2023-08-20T16:00','4 x 0'
'20','Goiás x Athletico-PR','2023-08-21T20:00','1 x 1'
'19','Botafogo x Internacional','2023-08-12T21:00','3 x 1'
'19','Atlético-MG x Bahia','2023-08-13T11:00','1 x 0'
'19','Corinthians x Coritiba','2023-08-13T16:00','3 x 1'
'19','Grêmio x Fluminense','2023-08-13T16:00','2 x 1'
'19','América-MG x Goiás','2023-08-13T16:00','0 x 1'
'19','Flamengo x São Paulo','2023-08-13T18:30','1 x 1'
'19','Fortaleza x Santos','2023-08-13T18:30','4 x 0'
'19','Palmeiras x Cruzeiro','2023-08-14T19:00','1 x 0'
'19','Bragantino x Vasco','2023-08-14T21:00','1 x 1'
'19','Athletico-PR x Cuiabá','2023-08-15T20:00','2 x 0'
'18','Santos x Athletico-PR','2023-08-05T16:00','1 x 1'
'18','Goiás x Fortaleza','2023-08-05T18:30','1 x 0'
'18','Internacional x Corinthians','2023-08-05T18:30','2 x 2'
'18','Fluminense x Palmeiras','2023-08-05T21:00','2 x 1'
'18','Vasco x Grêmio','2023-08-06T16:00','1 x 0'
'18','São Paulo x Atlético-MG','2023-08-06T16:00','0 x 2'
'18','Cruzeiro x Botafogo','2023-08-06T18:30','0 x 0'
'18','Coritiba x Bragantino','2023-08-06T18:30','0 x 1'
'18','Bahia x América-MG','2023-08-06T18:30','3 x 1'
'18','Cuiabá x Flamengo','2023-08-06T20:00','3 x 0'
'17','Fluminense x Santos','2023-07-29T16:00','1 x 0'
'17','Internacional x Cuiabá','2023-07-29T16:00','1 x 2'
'17','Athletico-PR x Cruzeiro','2023-07-29T16:00','3 x 3'
'17','Corinthians x Vasco','2023-07-29T18:30','3 x 1'
'17','Fortaleza x Bragantino','2023-07-29T18:30','0 x 3'
'17','Atlético-MG x Flamengo','2023-07-29T21:00','1 x 2'
'17','São Paulo x Bahia','2023-07-30T11:00','0 x 0'
'17','Botafogo x Coritiba','2023-07-30T16:00','4 x 1'
'17','América-MG x Palmeiras','2023-07-30T16:00','1 x 4'
'17','Goiás x Grêmio','2023-07-30T18:30','1 x 1'
'16','Flamengo x América-MG','2023-07-22T16:00','1 x 1'
'16','Palmeiras x Fortaleza','2023-07-22T16:00','3 x 1'
'16','Bahia x Corinthians','2023-07-22T18:30','0 x 0'
'16','Cuiabá x São Paulo','2023-07-22T18:30','2 x 1'
'16','Grêmio x Atlético-MG','2023-07-22T21:00','1 x 0'
'16','Santos x Botafogo','2023-07-23T16:00','2 x 2'
'16','Bragantino x Internacional','2023-07-23T16:00','0 x 0'
'16','Cruzeiro x Goiás','2023-07-23T16:00','0 x 1'
'16','Vasco x Athletico-PR','2023-07-23T18:30','0 x 2'
'16','Coritiba x Fluminense','2023-07-24T19:00','2 x 0'
'15','Botafogo x Bragantino','2023-07-15T21:00','2 x 0'
'15','Cruzeiro x Coritiba','2023-07-16T11:00','0 x 0'
