round,teams,date_time,result
'36','Vila Nova x Londrina','2023-11-10T19:00','4 x 1'
'36','Sport x Atlético-GO','2023-11-10T21:30','0 x 0'
'36','Ituano x Sampaio Corrêa','2023-11-11T15:30',''
'36','Avaí x CRB','2023-11-11T17:00',''
'36','Chapecoense x Botafogo-SP','2023-11-11T17:00',''
'36','Tombense x Ponte Preta','2023-11-11T18:00',''
'36','Ceará x Mirassol','2023-11-12T15:45',''
'36','Novorizontino x Vitória','2023-11-12T18:00',''
'36','Guarani x Criciúma','2023-11-14T19:00',''
'36','ABC x Juventude','2023-11-14T21:30',''
'35','Atlético-GO x Novorizontino','2023-11-01T20:00','2 x 2'
'35','Mirassol x Sport','2023-11-03T19:00','2 x 1'
'35','Juventude x Ituano','2023-11-03T21:30','2 x 1'
'35','Londrina x Guarani','2023-11-03T21:30','0 x 0'
'35','Ponte Preta x Avaí','2023-11-04T17:00','0 x 1'
'35','Botafogo-SP x Ceará','2023-11-04T17:00','2 x 2'
'35','Sampaio Corrêa x Tombense','2023-11-04T19:30','1 x 2'
'35','Vitória x Vila Nova','2023-11-05T18:00','1 x 1'
'35','CRB x Chapecoense','2023-11-07T19:00','3 x 2'
'35','Criciúma x ABC','2023-11-07T21:30','1 x 0'
'34','ABC x Avaí','2023-10-26T19:00','1 x 1'
'34','Ceará x Sport','2023-10-27T19:00','2 x 1'
'34','Guarani x Botafogo-SP','2023-10-27T21:30','0 x 1'
'34','Novorizontino x Ponte Preta','2023-10-27T21:30','2 x 0'
'34','Criciúma x Sampaio Corrêa','2023-10-28T15:30','3 x 0'
'34','Ituano x Mirassol','2023-10-28T15:30','0 x 0'
'34','Vila Nova x Atlético-GO','2023-10-28T19:00','2 x 1'
'34','Londrina x CRB','2023-10-29T18:30','1 x 1'
'34','Vitória x Juventude','2023-10-29T19:00','0 x 0'
'34','Chapecoense x Tombense','2023-10-30T20:00','1 x 2'
'33','Atlético-GO x ABC','2023-10-19T19:00','3 x 1'
'33','Tombense x Vila Nova','2023-10-19T19:00','2 x 1'
'33','Sampaio Corrêa x Vitória','2023-10-20T19:00','0 x 1'
'33','Mirassol x Guarani','2023-10-20T21:30','0 x 0'
'33','Botafogo-SP x Novorizontino','2023-10-21T17:00','2 x 0'
'33','CRB x Criciúma','2023-10-21T17:00','0 x 1'
'33','Juventude x Londrina','2023-10-21T18:00','2 x 2'
'33','Avaí x Ceará','2023-10-22T18:00','1 x 0'
'33','Sport x Chapecoense','2023-10-22T18:00','2 x 1'
'33','Ponte Preta x Ituano','2023-10-23T20:00','0 x 0'
'32','ABC x Mirassol','2023-10-10T21:30','1 x 2'
'32','Vila Nova x Botafogo-SP','2023-10-11T21:30','3 x 1'
'32','Criciúma x Chapecoense','2023-10-13T21:30','1 x 2'
'32','Ituano x CRB','2023-10-14T17:00','0 x 0'
'32','Novorizontino x Tombense','2023-10-14T17:00','0 x 0'
'32','Ceará x Sampaio Corrêa','2023-10-14T18:30','0 x 0'
'32','Ponte Preta x Atlético-GO','2023-10-15T15:45','0 x 2'
'32','Vitória x Guarani','2023-10-15T18:00','2 x 0'
'32','Londrina x Avaí','2023-10-15T18:30','1 x 1'
'32','Juventude x Sport','2023-10-16T20:00','2 x 2'
'31','Mirassol x Londrina','2023-10-03T19:30','2 x 0'
'31','Chapecoense x ABC','2023-10-05T19:15','0 x 0'
'31','Atlético-GO x Ituano','2023-10-06T21:30','1 x 0'
'31','CRB x Ceará','2023-10-06T21:30','2 x 0'
'31','Tombense x Juventude','2023-10-07T15:30','1 x 1'
'31','Botafogo-SP x Avaí','2023-10-07T17:00','0 x 1'
'31','Sampaio Corrêa x Novorizontino','2023-10-07T17:00','1 x 1'
'31','Guarani x Vila Nova','2023-10-07T18:00','1 x 1'
'31','Criciúma x Vitória','2023-10-08T18:00','1 x 0'
'31','Sport x Ponte Preta','2023-10-09T20:00','3 x 3'
'30','Mirassol x CRB','2023-09-28T19:00','1 x 0'
'30','Londrina x Sampaio Corrêa','2023-09-28T21:30','1 x 0'
'30','Avaí x Sport','2023-09-29T19:00','2 x 2'
'30','Vitória x Tombense','2023-09-29T21:30','1 x 0'
'30','Juventude x Criciúma','2023-09-30T15:30','1 x 0'
'30','Guarani x Novorizontino','2023-09-30T17:00','2 x 1'
'30','Ituano x Botafogo-SP','2023-09-30T17:00','1 x 1'
'30','ABC x Ponte Preta','2023-09-30T18:00','2 x 0'
